coin,snapshot height,amount
ETH(ALL),-,6
USDT(ALL),-,5569
USDT-TRC20,46095694,5436.9044
ETH,16005122, 5.2834
USDT-POLY,35807652,0
USDT-AVAXC,22578912,0
ETH-ARBITRUM,39362849, 0.2214
ETH-OPTIMISM,39762040,1.3971
USDT-ERC20,16005122,0
USDT-ARBITRUM,39363197,0
USDT-OPTIMISM,39762261,132.5138
BTC,763861,449.5140

coin,address,amount,message,signature1,signature2,redeem script/ public key
USDT-TRC20,TJTc3g4AuDoPxCFmTbcTJEmQwhFrTnJGNR,111000000,I am an OKX address,0xec5f6ae72dbee1626bae3ae76f5929f8690644fb91d0d2dbc62601fbdbe80efc5060d4093cf941bcd8977819894e939cc5987381e4484e7feabdd46aef9028641b,,
USDT-OPTIMISM,0xbe81dace406d0c6f31489e3e145681d5ddd243c9,132513768,I am an OKX address,0x69e98f85f91a54b3722a5f673ae650db0331eee292ae831646b75fa7a1773f076c70632aab258e73c9370758a6597d2d035f3dce33dc322021b86960631dde521b,,
ETH-ARBITRUM,0xfb227aba2f664a37b43ef4771b16c0d900bd53e3,59400000000000000,I am an OKX address,0xe0f40fda584f83db12c4d6890287c45d6857ccde6e0dbedcd53ae1b020b084ae2cedcb0b729e7c1ffbfdb315b49c6bbb9338a065e41214e871ca21fb025c3ba51b,,
BTC,3QVtn5nHRxBXX7C7sKw2qdkoGqMMwFUgwF,17263933,I am an OKX address,H/hk7JW3ARn4/WBh6AIt+oaQcEgrvO06RGePDzfYy5Ixc1KNekXv0+umB7biP9SdvQbfLS1DIx5OmjGjWmDa8jg=,HznDp7BGCogDFJwfqlITeVMQmXbADHyLJ5QEGhbK3cE/NK+dBimNyAlf1d3a9tKI7rQDwniqyhvJxBQnC5wP8Vw=,5221035e228cfaa97f93b9d513a961ecad3087cc7665542df0132dce857e41f74c39852103fe56807b68d32b2604697e16d56e1f2c62603534c00d887892cefbef347678a621029d1c0bc607088f4a6cd47052acc0bc5d233ebbcfe01c0b5c26cf7750b72332f053ae
ETH,0xe7d5f0677dbc8f27fe57bc8289c0450abd198533,58300000000000000,I am an OKX address,0xe0f0c7b5dec044d33ee4dadbd4202cc8969db26d63f354e1125a9da9792b68b41bce03596eee243cc23de23b49ba6f7e16d434e9d435877fb150b2497d926edd1c,,
ETH,0x0114efa8f268ce0a41d92b7f9a13880dad234848,53664840000000000,I am an OKX address,0x46fe251a7b869b8fd92e284e2f53168b39e1dec37690c21dc2ea80c9dcb5dcdd69707059e4ba7050c07be7a37b7d6ddbf1f3fe91bba13910689bf357fbd6a2501b,,
ETH,0x0034c75f4a23405ec4fcded55c8b864ce9f317d0,56182850000000000,I am an OKX address,0x80d3bb5497623dda6fe161b849d62a6094290faae7bcea6ccc2c4a0e80c37ab173965cd802f08ade5f005c671d1fae8ae35ac833ddbad2ce468f0dec214761591b,,
ETH-OPTIMISM,0x5920eba609799658b05c5d82b4f9046a479145a9,90054645707027360,I am an OKX address,0xd5e670b357a446a2a720eae5561bf2059e5d3c695511526b78b8799bbef9a77c3deef328a3ee77bc8448c4cb2d9bdebeb9c92d2e267b257e519c9e7bdb1b5ee41b,null,
ETH-OPTIMISM,0x388daa11497e0783f7c4d1e5cde50a7ea87257be,93261548393284672,I am an OKX address,0x723cef3841b770b4c583c67c465d40b343ff55acfdf51ed749333b08b99bfef922e9cc0496106b2ab290a752726cdd973436ea0890e3b49fb1b3906589576f6d1b,null,
ETH-OPTIMISM,0x386df81a9c3b9a8299cfe9fa9a696e496fb25b75,203000000000000000,I am an OKX address,0xde751d98798c8b4046eab06b72945e5688e1c4cb2a5cb0b4d11c4f7991d39444408a5b30a53f04413baa8f61652dbb48e4c20251137a7932fe1cfab9a061dad01b,null,
ETH-OPTIMISM,0x8a9cd9a4ed47bd4285a803f997862bc47da76a25,651000000000000000,I am an OKX address,0xe3b49d766d84032a37083c6c0826d619e1e96cf64e0c883ac18e33460108f7d854ac34431cc031faa999e01f5f3ef8cdbb10572336da05a7f810d6710e43d74f1c,null,
USDT-TRC20,TSQN7YJTxkvZDapB4CEYPdMBwye7eWrtBT,134000000,I am an OKX address,0x7c4f04735aecd202fa206ea56d06c5b1fdabc2275fe93e94fad3230823ef6f054f9bd0d9bfb36c125e6930e51b7e32826d9b2539b668522dbf08a8a82452d5f51b,null,
USDT-TRC20,TSJqkRh5qR9vs8gbi6A17er4uX8xmNXZbK,130000000,I am an OKX address,0xd875920deb1d83cdd651c64156e9c291e4d208a5f7fb1195ee18f23d47132181590404d182ddee58286ff75d163907b2b7a9121783ade840f2bc1c0ddfd8aefd1c,null,
USDT-TRC20,TPkgbwvrsJWmAbNWefVRanRqAZK8A53RSe,2999204358,I am an OKX address,0xc6d49bca879da2d7c01e8d7fa1f2da76caf60c2185a04f8f40c5e2f9373d84ea77331c68e2f4ce1cf70e7b1e77429e895d23b8f19164db4e96d79956a6e1364a1c,null,
ETH-OPTIMISM,0x818af5cca7e7acbab18ce6b8d8bc62de14b27013,148000000000000000,I am an OKX address,0x4bbaaaf403254f8b29260653511676e466a34674adcfc5ab12a91af5a370b91b002a9223bbebf1867d8aa0fbaf75931a563951ef448a88b4132c8fbd0c03203d1c,null,
USDT-TRC20,TJHPDMPXYYHKKzovTy65mnGgAmAwc1oR3g,1199000000,I am an OKX address,0x5f6174dead727afb3e74893e658fb5dd57268cc84e7879bd12f780f43f162c8d05b8a0bdcf01f59ea03712942f5bdd1efd06b1238ef586eb5dc8e571811052d01b,null,
USDT-TRC20,TGgfdZa9W9EAd83ovDz3qT3BtWQ95bHFzQ,700000000,I am an OKX address,0x6459529cb6efbc5da417eaa1f7530a7f8b559d62d43eee5b67b2ffca7df4f1f4119ab086d638758fda50f5acb07b84e6b0177863d805118ff616929bf6924e711c,null,
USDT-TRC20,TGdGJNbK5xJQ16czmGfWNSGTqTm3kFvtf2,163700000,I am an OKX address,0x2102610ce1aee4ac2b1c102e744bbfccae18fac0932dd94bdee1e0fdf08ed4b93e33a4c9860594dd60e6d2685d71aa27460122afb95333108b1089c6e62d1fc21c,null,
ETH-OPTIMISM,0x2d1580523264d21bb76e74c2c0cde1dcde4c24b8,102810955811638176,I am an OKX address,0xc9d929bbe47f5ac1a527792109dea5a85f560accc069257b177e96dbfaaf9e5549107cda9879dc64e89f2804c6bb4f0df5e66e84e3677700c26c400995fbdbc11c,null,
ETH-OPTIMISM,0x2cb387cf1878a21ac811a2f81952961c4b51a028,109000000000000000,I am an OKX address,0x92783a438dfaaae06bfa68f5ea8afcd2897cb77a6af5fc7c34d286f8678d7e213d89bd5ee41a0ef7763a299d19a78538d57b23566605f11c6c212e1bab5ce7bf1c,null,
ETH,0xdbae50f673359ddce7e1f5f8c4638eff40102083,61249504170279000,I am an OKX address,0xf227829f67142be16fbdf5f854421b956684bf7cfa634e93f39bca306dc4e65c78607c2ca60323c1553bbcce5fffa02e60cb6ebab5fb9d29c5baf5ce82aea1351b,null,
ETH,0x34c5731a0cabf28a264a2b0b497207dc0bef003e,5000000803935811584,I am an OKX address,0x83e2f8046c6d45da1a6cd4e03c5ad4a137ef8d96fd0a8e74430788cf7467c8d92a63ce71c229c6ece99761c6772759771cf1d894b908f37472a6b3beb50102701b,null,
